StationName,ObservationDate,Year,Precipitation,PrecipitationRank
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1971,0.46,57
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1971,2,79
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1971,2.5,25
PHILADELPHIA INTERNATIONAL AIRPORT PA US,00:00.0,1971,1.21,98
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1971,1.5,18
DETROIT CITY AIRPORT MI US,00:00.0,1971,0.85,85
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1971,0.5,85
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1971,0.49,90
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1972,1.1,82
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1972,1.2,59
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1972,1.25,43
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1972,1.65,8
DETROIT CITY AIRPORT MI US,00:00.0,1972,0.95,67
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1972,1.38,89
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1972,1.95,94
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1972,2.32,50
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1972,0.45,65
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1972,1.57,5
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1973,1.33,91
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1973,0.76,4
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1973,0.65,37
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1973,1.37,83
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1973,1.31,96
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1973,0.51,40
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1973,0.67,13
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1973,0.45,65
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1974,3.33,6
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1974,2.6,20
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1974,1.07,95
PHILADELPHIA INTERNATIONAL AIRPORT PA US,00:00.0,1974,1.44,47
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1974,1.15,67
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1974,0.86,19
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1974,0.43,73
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1975,0.77,3
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1975,0.48,50
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1975,0.43,73
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1975,0.46,57
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1975,1.8,59
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1975,1.5,76
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1975,1.97,5
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1975,1.63,54
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1975,1.45,25
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1975,1.13,76
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1976,1.8,59
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1976,3.18,47
DETROIT CITY AIRPORT MI US,00:00.0,1976,1.11,46
DETROIT CITY AIRPORT MI US,00:00.0,1976,1.2,29
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1976,1.35,30
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1976,0.87,18
